Feature,Type,Value,Score,upper,lower,Category
Srpe_team_avg,Numerical,0.0,-0.00446587707408766,-0.0037703841696924475,-0.005161369978482872,
Srpe_team_avg,Numerical,1.0,-0.004136766373313302,-0.00346193458332437,-0.004811598163302234,
Srpe_team_avg,Numerical,48.5,-0.003506296814673404,-0.002778743233881858,-0.004233850395464951,
Srpe_team_avg,Numerical,103.5,-0.0029514072035203656,-0.002223680603727378,-0.003679133803313353,
Srpe_team_avg,Numerical,181.0,-0.0023514008044448935,-0.001644157137627441,-0.003058644471262346,
Srpe_team_avg,Numerical,213.5,-0.001748058993368449,-0.001115672788646853,-0.002380445198090045,
Srpe_team_avg,Numerical,239.5,-0.0013409433688391095,-0.0008469865289809032,-0.0018349002086973157,
Srpe_team_avg,Numerical,260.0,-0.0008394333460065758,-0.0003978630283632606,-0.001281003663649891,
Srpe_team_avg,Numerical,284.5,-0.00014503223832014006,0.00019823764433547883,-0.000488302120975759,
Srpe_team_avg,Numerical,309.5,0.0005630970054511335,0.0010088286711900517,0.00011736533971221536,
Srpe_team_avg,Numerical,336.5,0.0010794420906455697,0.0014631296972923236,0.0006957544839988159,
Srpe_team_avg,Numerical,361.0,0.0019985762225309864,0.0023944816967579013,0.0016026707483040715,
Srpe_team_avg,Numerical,390.5,0.0030103228124980412,0.0035640505615582036,0.002456595063437879,
Srpe_team_avg,Numerical,415.5,0.0032317202722942366,0.0038838865963985937,0.0025795539481898795,
Srpe_team_avg,Numerical,438.5,0.0036416095442080116,0.00447507073571145,0.002808148352704573,
Srpe_team_avg,Numerical,469.5,0.0038079401637142467,0.004816461313705904,0.002799419013722589,
Srpe_team_avg,Numerical,510.5,0.0037017856676453222,0.004741836832906731,0.0026617345023839142,
Srpe_team_avg,Numerical,547.5,0.003729127705228356,0.005240904802098544,0.0022173506083581675,
Srpe_team_avg,Numerical,765.0,0.003729127705228356,0.005240904802098544,0.0022173506083581675,
Srpe_7d_robust,Numerical,-4.07751937984496,-0.0015546311331146032,-0.0008778312956580654,-0.002231430970571141,
Srpe_7d_robust,Numerical,-1.36964737629977,-0.000987793230450118,-0.0004178043588200515,-0.0015577821020801845,
Srpe_7d_robust,Numerical,-0.940709353421218,-0.0006084700057456631,-5.0811971523664684e-05,-0.0011661280399676616,
Srpe_7d_robust,Numerical,-0.694041074577326,-0.0011889611728665428,-0.0006068031597031611,-0.0017711191860299244,
Srpe_7d_robust,Numerical,-0.540753065877858,-0.0016262021359994734,-0.001077794202264002,-0.002174610069734945,
Srpe_7d_robust,Numerical,-0.4064856976065385,-0.0018632170686517977,-0.0014222978520600639,-0.0023041362852435315,
Srpe_7d_robust,Numerical,-0.2890244306692745,-0.0017526373022100177,-0.0013722360505671921,-0.0021330385538528432,
Srpe_7d_robust,Numerical,-0.1876302356478565,-0.0012700673279149772,-0.0009926766516171967,-0.0015474580042127578,
Srpe_7d_robust,Numerical,-0.08492607284529391,-0.0009267047178952622,-0.0006455626433198238,-0.0012078467924707007,
Srpe_7d_robust,Numerical,0.00083194675540765,-0.00038530777659380916,-7.882271175084775e-05,-0.0006917928414367706,
Srpe_7d_robust,Numerical,0.106105949932629,0.00030595117872330346,0.0006805869158922381,-6.868455844563122e-05,
Srpe_7d_robust,Numerical,0.213480662983425,0.0011009151202203693,0.0015939681642491497,0.0006078620761915889,
Srpe_7d_robust,Numerical,0.33137474800988,0.0014627267941799509,0.0019610331623134427,0.0009644204260464591,
Srpe_7d_robust,Numerical,0.45237377375029997,0.00200711496366097,0.0025997338186017176,0.0014144961087202226,
Srpe_7d_robust,Numerical,0.6032024529426795,0.002591355963837675,0.0032880264288257556,0.0018946854988495943,
